code;product;quantity;cost
﻿0713000MGr;07.130 М Удлинн. д/ Настенн.СМЕСИТ. 20мм (3/4);3;34.8
07227000Gr;07.227.000 Гибкая подводка;4;57.82
0919500MGr;Grohe 09 195 00М Крепеж для монтажа настенный, для смесителей, 2 шт.;2;88.5
117643Gr;*СНЯТ*Grohe 117643 Grohtherm 1000 Cosmopolitan_Concetto Набор 3 в 1 для душа, с термостатом;2;377.21
12036000Gr;Grohe 12 036 000 Крепеж для вертикального монтажа для Europlus и Florida, 150 мм;4;181.2
12060000Gr;Grohe 12 060 000 Крепеж для вертикального монтажа 70 мм;1;150.0
123072Gr;Grohe 123072 BauCurve Готовый комплект для гигиенического душа;10;153.6
124416Gr;Grohe 124416 Eurostyle New Набор 3 в 1 для ванны;6;273.98
124428Gr;Grohe 124428 Euroeco Набор 3 в 1 для ванны;10;190.11
124434Gr;Grohe 124434 BauClassic Готовый комплект для гигиенического душа;5;148.68
124452Gr;Grohe 124452 Rainshower Набор для комплектации душа;4;305.62
124846Gr;Grohe 124846 Sensia Arena унитаз-биде 39354SH0 + Инсталляция 39112001, Комплект;2;3216.0
124895Gr;Grohe 124895 BauLoop Готовый комплект для гигиенического душа;10;130.98
124896Gr;Grohe 124896 BauLoop Готовый комплект для гигиенического душа (белый ручной душ);4;127.2
124897Gr;Grohe 124897 BauEdge Готовый комплект для гигиенического душа;8;127.2
124898Gr;Grohe 124898 BauEdge Готовый комплект для гигиенического душа;10;143.96
124900Gr;Grohe 124900 BauFlow Готовый комплект для гигиенического душа;2;125.08
124901Gr;Grohe 124901 BauClassic Готовый комплект для гигиенического душа;10;139.24
124902Gr;Grohe 124902 BauClassic Готовый комплект для гигиенического душа;3;165.6
13135000Gr;*СНЯТ*13.135 Излив д/ВАННЫ Tensa;1;176.03
13135AV0Gr;*СНЯТ*Grohe 13 135 AV0 Tenso Излив для ванны 174 мм;1;0
13255000Gr;Grohe 13 255 000 BauCosmopolitan Излив для ванны 140 мм, ½;2;54.43
13258000Gr;Grohe 13 258 000 BauClassic Излив для ванны 140 мм;3;54.43
13261000Gr;Grohe 13 261 000 Eurosmart Cosmopolitan Излив для ванны 170 мм, 1/2;2;81.6
13276002Gr;Grohe 13 276 002 Eurostyle Cosmopolitan Излив для ванны;4;93.6
13278002Gr;Grohe 13 278 002 Eurodisc Cosmopolitan Излив для ванны 170 мм, 1/2;4;92.4
13304000Gr;Grohe 13 304 000 Eurocube Излив для ванны 170 мм;1;133.2
13319000Gr;Grohe 13 319 000 Allure Brilliant Каскадный излив для ванны и душа 180 мм, 1/2;1;691.2
13614Z00Gr;*СНЯТ*Grohe 13 614 Z00 Излив для ванны 170 мм, ¾;1;0
13967000Gr;Grohe 13 967 000 Аэратор M22x1 22.5 л/мин;4;12.39
18283000Gr;Grohe 18 283 000 Крепёж для вертикального монтажа;1;0
1828300MGr;Grohe 18 283 00М Крепёж для вертикального монтажа;1;47.2
18318000Gr;*СНЯТ*18318000 Подставка для крепления смесителя Ondus;1;0
18541000Gr;Grohe 18 541 000 Eurocube Полочка;1;30.0
18885000Gr;z*СНЯТ*18.885 РУЧКИ Синфония/пара/;6;0
18885IG0Gr;*СНЯТ*z18.885 igo РУЧКИ Синфония/пара/;1;0
18996000Gr;*СНЯТ*Grohe 18 996 000 Florida Маховики (пара);8;0
19000000Gr;*СНЯТ*19.000 Верх. панель SOLID (для 33.961) Д;1;0
19030000Gr;*СНЯТ*19.030 Верх. панель SINFonia (для 33.971);1;115.29
19036000Gr;*СНЯТ*EUROPLUS 19.036 в 3- отв. ( для 33.339);1;0
19051AV0Gr;*СНЯТ*19.051 AVO Tensa Панель (для 33.961);1;0
19066000Gr;*СНЯТ*19.066 Tensa Панель (для 34. 100) Д;10;220.88
19088000Gr;Grohe 19 088 000 Atrio Jota Накладная панель вентильной головки (внешняя монтажная часть);2;95.58
19145000Gr;*СНЯТ* Grohe 19 145 000 Atrio Термостат для 1 потребителя (внешняя монтажная часть);1;220.88
19147000Gr;*СНЯТ* Термостат Grohe Atrio 19147000 центральный ATRIO Панель Душ;1;0
19159RR0Gr;*СНЯТ*Grohe 19 159 RR0 Chiara Термостат для 1 потребителя (внешняя монтажная часть);1;0
19198000Gr;*СНЯТ*19.198 euFRESH Панель для 33.961;2;0
19199000Gr;*СНЯТ*19.199 euFRESH Панель для 33.961 В.Д.;1;0
